,No,Response
3834,3834,Ce sont des véhicules vendus par des pro (véhicules neufs avec qqes km au compteur) où le bonus est à enlever de ce prix. Comparés à 20700€ plutot ! Il suffit qu'ils aient ajoutés quelques options.
3835,3835,"Ce n'est pas plutot des véhicules sans location de batterie ie, dont le possesseur est propriétaire de la batterie ?"
3836,3836,
3837,3837,
3838,3838,"Pas vraiment un scoop , mais bon....Les voitures électriques devraient constituer une alternative écologique sur nos routes, mais ne se vendent quasiment pas en Belgique. En 2012, près de 149 voitures débarquaient sur les routes. On en compte à peine 44 depuis le début 2013, et la fin des déductions fiscales pour les particuliersPetite vidéo jt belgehttp://www.rtl.be/info/belgiqu [...] Headline_3"
3839,3839,"reportage jt de france2 à 13h ce lundi 7 octobre : Paris / Lyon en 26 heures (nuit d'hotel pour 80 euros comprise) Recharge concession prévue sur le parcours ""en panne""; début de la galère-Sinon pour une citadine, je la trouve trop grande : 3.8O aurait ete bien"
3840,3840,"Un burne ce journaliste, ou comment tout faire pour flinguer le VE.Je n'ai pas vue le reportage mais d’après ce qu'on m'en a dit et ce que j'ai lu sur le Blog automobile propre, il aurait tout fait pour que ce soit la galère il ne s'y serait pas pris autrement, sans compter que la Zoe n'est pas faite pour ca.Faudra quand même que je le regarde, mais ce n'est pas avec ce genre de reportage qu'on va relancer les ventes de VE."
3841,3841,Ce reportage Obvious On ne peut pas faire rapidement Paris-La Rochelle à pied.Merci de nous l'apprendre.
3842,3842,Renault de l'électrique à l'hybride
3843,3843,
3844,3844,"Il y a assez de sujets sérieux à traiter sur la voiture électrique sans aller chercher de telles évidences.Le véhicule a une autonomie d'environ 120 à 160 Km selon l'usage, Monsieur Renault n'a jamais dit que l'on pouvait traverser le continent de Brest, à l'estuaire du Danube sans recharger. "
3845,3845,
3846,3846,
3847,3847,
3848,3848,N'importe quoi ce reportage. Sur France télévision en plus. Avec notre tune.Enfonceur de porte ouverte qu'il aurait du faire ce journaliste.
3849,3849,
3850,3850,Qui aurait l'idée de faire un Paris Lyon avec une électrique.Cela reflète surtout le manque d'autonomie. 3 recharges c'est beaucoup trop pour envisager ce genre de voyage.
3851,3851,Reprise du message précédent :Qui aurait l'idée de faire un Paris Lyon avec une électrique.Cela reflète surtout le manque d'autonomie. 3 recharges c'est beaucoup trop pour envisager ce genre de voyage.
3852,3852,"Pourquoi pas la tester en amphibie tant qu'on y est.C'est un citadine électrique, qu'on la teste en ville et extra urbain occasionnellement."
3853,3853,
3854,3854,"On en revient au point de départ.Compte tenu des déviations que l'on peut rencontrer sur son chemin, du vieillissement qui ne manquera pas d'apparaître sur la batterie, du manque de fiabilité du réseau de bornes de recharges..., pour l'instant il est prudent de réserver l'usage de la VE à des trajets de 50 Km maximum à l'aller. Modris évoque 75 Km, distance qui semble normale pour une VE neuve, mais avec le temps...  Ceci sans remettre en cause le véhicule électrique en lui-même, qui est forcément l'engin de l'avenir."
3855,3855,
3856,3856,"Renault : en hybride toute !Renault revoit entièrement sa copie en matière de voitures ""propres"", et va finalement se mettre à l’hybride sous toutes ses formes.(Dacia pourrait profiter de ces avancées puisque des Duster hybrides seraient déjà à l’étude.)"
3857,3857,L'hybride diesel bientôt sur les utilitaires Renault(Renault vient d'avoir la confirmation du versement d'une aide de l'Europe pour développer de l'hybride diesel pour les utilitaires.)
3858,3858,"parrier sur l'hybride pour 2020.... on dirait bien que Renault a parié sur l'éléctrique trop tot, et parie sur l'hybride trop tard... l'avenir nous le dira"
3859,3859,"Je viens de voir le reportage (merci pour le lien).C'est édifient et d'une mauvaise foi manifeste... Prend une thermique avec un reservoir de 4L de GPL et essaie de faire un Paris-Lyon... C'est facile quand les infrastructures sont là, mais là, c'est CAPTAIN OBVIOUS !  Et puis faire de l'autoroute pour ressortir sachant que ca consomme à mort sur l'autoroute, quel non-sens !"
3860,3860,
3861,3861,
3862,3862,
3863,3863,
3864,3864,"ca c'est pas dit : On pourrait très bien envisagé d'utiliser les canalisations de Gaz naturel pour faire passer du H2... mais ne revenons pas sur ce débat.On a quand meme un probleme en France : on développe soit a coté de la plaque (PSA avec son hybride diesel) soit trop tot (renault et son programme ZE), soit trop tard (Renault et son projet d'hybride en 2020).Pourtant, les compétences et la matière grise sont bien là!"
3865,3865,
3866,3866,"L'Alliance à signer un partenariat entre Ford-Daimler et Renault Nissan, Nissan et Mercedes ont de longues années d'études, de prototype de véhicules fonctionnant à l'hydrogène. Et l'Alliance à prévus un véhicule commercialisé dès 2016."
3867,3867,
3868,3868,"Bien vu Percer, c'est incroyable ! Pourtant ce journaliste n'est pas nait de la dernière pluie !http://www.dbtcev.fr/quick-cha [...] iverselle/ donc ca marche bien avec la ZoéStation BP de l'Aire de la Charponne ?"
3869,3869,
3870,3870,
3871,3871,Ça m'énerve cette mauvaise fois caractérisée pour l'essai de la Zoé sur un Paris Lyon. Non mais qui aurait l'idée de faire ça ????C'est insensé.En plus sur des bornes modernes. Renault devrait faire un communiqué pour alerter sur le fake et l'incohérence.Pfff...
3872,3872,http://www.automobile-propre.c [...] -169emois/Offre de leasing (bonus déduit):169€/mois sur 37 mois + 1er loyer de 2581€(Leaf = 169€/mois sur 37 mois + 1er loyer de 5000€)
3873,3873,
3874,3874,"En fait, dans les 169€, il y a la location de la batterie de 79€Donc, ca se reflechit, surtout pour les frileux qui ont peur que ça décote beaucoup. Car ca fait un cout de 5911€ sur 37mois. Si la cote de la Zoé est inférieur à 7789€ après 3 ans (et encore, si on achète la Zoé cash ! Plus facile de sortir 2500€ que 13700€), ca se tente.Par contre, c'est un peu bizarre ce qui est écrit en petit l'histoire des 9581€, comme si le bonus n'était pas déduit ..."
3875,3875,9581€ -7000 (bonus) = 2581€. Je pense que Renault est obligé de communiquer hors bonus. C'est comme le prix de la zoé sur le configurateur Renault qui est affiché hors bonus.Cette offre est interessante mais il y a toutefois 2 petits problèmes :- cette offre est reservée à ceux qui ont reçu le mail. Je suis curieux de savoir sur quelle base Renault a sectionné les heureux élus car j'ai dû m'inscrire à apeu près toutes les newslletter renault zoé et je n'ai rien reçu. Il est donc inutile de baver sur cette offre si vous n'avez pas reçu l'offre.- Cette offre est pour ~36 000km sur 37 mois soit environ 12000 km/an....quid du prix du km supplémentaire ?
3876,3876,La BMW I3 dans TURBO sur M6 ce matin.et aussi La TESLA S. 
3877,3877,Dans TURBO ce matin :Marseille/ Bordeaux en ZOE. 
3878,3878,4700 euros l'extender de l'i3
3879,3879,"Top high tech le châssis collé carbone. Par contre je pense qu'en cas d'accident, c'est poubelle direct."
3880,3880,"Bonjour à tous,Je suis passé chez Renault pour voir si une Zoé pourrait remplacer ma Swift essence. Je fais 2x60km par jour avec un climat très rude. On ma clairement dit non, j'apprécie l'honnêté du vendeur je vais donc me diriger vers un tce.Pour info, pour l'hydrogène c'est pas pour demain, le challenge vient de la taille de la molécule de H2 qui est la plus petite existante contrairement au gaz naturel qui est très grosse. Par consėquent il est très compliqué de faire une paroie étanche. La solution , l'acide formique ...Molodoi."
3881,3881,Ca serait possible mais limite l'hiver et quand la batterie sera à 75% tu sera griller.Autre possibilité faire mettre une borne de recharge ou une prise dédié à ton boulot.A+
3882,3882,
3883,3883,Si ce n'est pas prévu à la base c'est mort. On verra le taux d'équipement en prolongateur pour l'i3. Car à 5000 euros le bout...
3884,3884,à 5000€ le REX autant rajouter 16kwh de batterie !!
3885,3885,
3886,3886,"Je ne pense pas que Renault se soit lancé trop tôt dans le véhicule électrique. Les débuts ne sont jamais faciles, faut s'accrocher, mais les leçons apprises ne sont pas perdues et peuvent être corrigées ou employées pour la prochaine génération (p.ex. le CRO, la possibilité de recharger chez les concessionaires, espérons-le une augmentation de la capacité de la batterie, ...). En arrivant en retard sur un marché, non seulement il faut apprendre ces leçons, mais les moyens financiers apportés par la technologie précédente (en chute libre) ne sont plus là. A voir les nombreux exemples dans la photographie argentique -> numérique, les télévisions cathodiques -> LCD, smartphones, ...Enfin il faut aussi voir que les ventes de véhicules électriques au niveau mondial augmentent de manière exponentielle, même si elles sont encore pour le moment à un niveau très bas."
3887,3887,"Reprise du message précédent :Je ne pense pas que Renault se soit lancé trop tôt dans le véhicule électrique. Les débuts ne sont jamais faciles, faut s'accrocher, mais les leçons apprises ne sont pas perdues et peuvent être corrigées ou employées pour la prochaine génération (p.ex. le CRO, la possibilité de recharger chez les concessionaires, espérons-le une augmentation de la capacité de la batterie, ...). En arrivant en retard sur un marché, non seulement il faut apprendre ces leçons, mais les moyens financiers apportés par la technologie précédente (en chute libre) ne sont plus là. A voir les nombreux exemples dans la photographie argentique -> numérique, les télévisions cathodiques -> LCD, smartphones, ...Enfin il faut aussi voir que les ventes de véhicules électriques au niveau mondial augmentent de manière exponentielle, même si elles sont encore pour le moment à un niveau très bas."
3888,3888,"Je ne suis pas d'accord avec ton analyse : Se lancer dans le véhicule électrique est une bonne chose, mais je persiste et signe en disant qu'il l'a fait trop tot, trop ""hativement"".Le mieux aurait été une montée en puissance graduelle en passant par du véhicule hybride et, quand le prix et la techno des batteries permettra une autonomie ""psychologiquement"" acceptable par monsieur tout-le-monde, alors lancer son véhicule électrique. Le CRO n'y changera rien : l’absence de celui-ci au lancement du véhicule est davantage un problème d'image et de communication (la grande majorité des médias ont incendié le véhicule pour cela) qu'un réél manque. Le CRO est pour moi un faux problème.Bref, il semblerait que Renault l'ai finalement compris puiqu'il réoriente sa stratégie d'électrification vers le VH et non le VE.Ce qui est sur, c'est que renault investi pour l'avenir, et pour cela, bravo renault."
3889,3889,"Je viens de regarder l'émission de Turbo sur l'i3. A retenir: la tête et le sourire des 2 boulangers-pâtissiers dans la Tesla Model S, ça veut tout dire!"
3890,3890,"Turbo dispo en replay ? Car hier, c'était pas encore dispo."
3891,3891,
3892,3892,"Quelques questions bêtes:-Combien coûte la première révision, on m'a parlé de 50 Euros, chez Renault....-Quelle est votre véritable autonomie dans la vraie vie?-Prix pour louer la batterie, si on fait 20/25000 kms par an?(ma femme fait 2X 40kms, tous les jours)Je demande ça, car j'ai eu l'occasion d'en essayer une ce matin et j'ai franchement bien aimé... (en véhicule secondaire)"
3893,3893,"Comparatif partial parfois :je citeCitation :A côté de la Zoe ZE, la Clio IV est un veau!Un veau en ville, en dehors le veau c'est la zoé.Citation :La Clio IV propose un mode de conduite beaucoup plus complexe avec une boite manuelle à 5 rapports. En phase d’accélération comme de décélération, le conducteur doit lâcher une main du volant pour actionner un levier de vitesse. Ce mouvement doit être coordonné avec une opération sur une pédale pour débrailler puis rembrayer le moteur et se répète à chaque passage d’un palier de vitesse (15km/h, 35km/h, 55km/h, 80km/h environ)! C’est assez idiot à écrire mais il s’agit d’une vraie différence d’usage! Oui enfin quand tu as le permis ça va tu t'en remets. Cela fait même partie du plaisir de conduire de passer les vitesses quand bon te semble."
3894,3894,En fait après les débats stériles Diesel/Essence maintenant c'est BVA/BVM ?
3895,3895,"Non c'est juste la façon dont c'est écrit qui porte à caution. Écrire 4 phrases ( tiré par les cheveux) pour dire qu'une boite auto est plus agréable en ville, c'est un peu trop pour appuyer un avantage pour être impartial. Car il aurait fallu dire que l'absence de rapport n'aide au reprise de la Zoé.Pas plus...."
3896,3896,"Ok  Sinon oui en ville, boîte auto, dans les bouchons, y a pas mieux "
3897,3897,
3898,3898,
3899,3899,
3900,3900,
3901,3901,
3902,3902,
3903,3903,
3904,3904,
3905,3905, Belle comparaison. 
3906,3906,
3907,3907,
3908,3908,
3909,3909,"Vous avez oublie' le cout de l'embrayage, du turbo, de la vanne EGR, des bougies, des filtres, des huiles, des plaquettes, des disques..."
3910,3910,...des courroies de distribution...
3911,3911,
3912,3912,Je comprend pourquoi elle n'a pas plus de succès avec autant d'avantage...
3913,3913,
3914,3914,
3915,3915,
3916,3916,
3917,3917,
3918,3918,
3919,3919,
3920,3920,
3921,3921,"...Attendre que le réseau s'étoffe, ou que la capacité de la batterie soit augmentée...  Pour tout le reste, la voiture électrique est la voiture de l'avenir.Mon regret c'est de vivre au présent.   "
3922,3922,
3923,3923,Reprise du message précédent :
3924,3924,"Bonne bagnole au passage. Imaginée par un Américain, dessiné par des Italiens, avec un châssis anglais, motorisé par un moteur franco-suédois et construit en Irlande."
3925,3925,
3926,3926,
3927,3927,"Selon une récente étude du cabinet américain McKinsey, le prix des batteries lithium-ion utilisées dans les voitures électriques pourrait baisser de plus de 70 % d’ici à 2025.Selon le cabinet, le prix des batteries lithium-ion pourrait ainsi tomber de 500 à 600 $/kWh (400 à 500 €) aujourd’hui à 200 $/kWh (160 €) en 2020 puis à 160 $ en 2020 (130 €).Source: http://www.avem.fr/actualite-b [...] -3317.html"
3928,3928,
3929,3929,ce qu'il manque c'est Betterplace avec le quickdrop... mais c'est trop couteux et un système qui s'est voulu trop contraignant au niveau de la conception (réglé au millimètre !)Par contre ça permet de changer sa batterie (fluence) en 5min !
3930,3930,
3931,3931,
3932,3932,
3933,3933,
3934,3934,
3935,3935,"pour le confort d'un Ve ou d'un hybride ça n'a pas de prix (silence pas de vitesse a passer, et pas uniquement en ville, sur la route c'est génial aussi) par contre la faible autonomie, surtout en hiver c'est encore un problème pour les Ve. Je ne connait pas la Zoe, mais au boulot on a des kangou ZE et bien l'autonomie est bien faible surtout quant il fait froid et qu'il pleut. Le chauffage même très peu efficace et les essuie glace voir les code faut énormément chuté l'autonomie. certain même se demande comment il vont faire cette hiver, pour finir leur tournée sans tomber en panne. Et pas possible de charger chez un client sympas la prise n'est pas standard."
3936,3936,"Il faut arrêter de tout mélanger.Toute les consommations électriques d'une voiture en dehors de la clim/chauffage sont négligeable par rapport à sa consommation pour rouler. Cela inclus : les feux, les essuie-glace, les pchit d'essuie-glace, les vitres électriques, l'auto-radio, etcL'impact sur l'autonomie de tout ça, c'est peanuts. Même pas besoin d'en parler.Le chauffage par contre, sauf pompe à chaleur (ce qui est très récent sur les autos), est un gouffre oui."
3937,3937,"Exact, je plussoie.Ceci est du à l'isolation thermique d'une voiture qui est très mauvaise par rapport à une maison récente... En même temps, il y a un gros trou pour le pédalier  Donc chapeau à Renault qui, en plus d'avoir introduit une nouvelle techno, a bossé l'isolation thermique et ça se ressent forcément au niveau de l'isolation phonique.PS: un groupe de clim d'auto consomme une puissance moyenne d'environ 2kW (puissance max de 5kW)"
3938,3938,
3939,3939,"Chauffage dans l'habitacle mis à 22°c dans la zoé, sur un trajet de 31kms par 7°c extérieur, je consomme 0.3kW juste pour le chauffage.Il fait bon dans l'auto, je n'ai pas froid et le chauffage arrive vite.A tester quand il fera 0°c ou du négatif."
3940,3940,
3941,3941,
3942,3942,Le kangoo dispose aussi d'un chauffage a pétrole en option.http://www.renault.fr/gamme-re​nault/vehicules-electriques/ka​ngoo-ze/kangoo-ze/niveau-de-fi​nition-et-equipements/liste-eq​uipements-et-options/#Equipeme​nts-Z.E.
3943,3943, Record de distance: plus de 1.000 kms en 24 22 heures par une Zoé Bug Danny Aujourd'hui à 13:13http://www.eruda.de/wp-content​/uploads/Rekordfahrt-1000-km-2​4-h-Flensburg-F%C3%BCssen-14.1​0.2013.pdfhttp://motorzeitung.de/news.ph​p?newsid=199966Forum Renault Zoé Z.E.Quand je pense que l'autre #### de journaliste a mis 25h pour faire paris Lyon 
3944,3944,
3945,3945,"Il faut croire qu'en Allemagne, soit le réseau des stations de recharge est plus étoffé qu'en France soit le suivi et le dépannage des bornes existantes est plus rapide que chez nous. "
3946,3946,
3947,3947,
3948,3948,"A tous j'ai oublié de vous préciser que je parle dans mon intervention de Kangoo ZE fournit a la Poste qui sont sans options en plus c'est l'ancien model, donc pas de chauffage optionnel pas de câble pour recharger sur une prise ordinaire et encore moins de clim (pour dégivrer l'hiver le par brise) et c'est utilisation très spécifique qui consomme beaucoup, qui bien sur ne concerne pas la Zoe. Il faut dire aussi que mes collègues on une idée très particulière de l'écoconduite désolé pour le HS mais je trouve pas de topic Kangoo ZE"
3949,3949,"L'ancien modèle avait déjà le chauffage optionnel, la poste n'a malheureusement pas du le prendre, sauf je l'espère pour nos postiers des régions froides.Idem le câble était lui aussi disponible sur les premières versions, qui n'avaient par contre pas de recharge rapide, disponible maintenant."
3950,3950,"Non pas de chauffage optionnel, même dans les régions froides, on est en Auvergne et même en plaine il peut faire très froid. Et pour les voitures des facteurs il faudrait un chauffage puissant, car il roulent quasi en permanence avec une vitre ouverte pour la distribution du courrier qui es calculer sans descendre de la voiture."
3951,3951,
3952,3952,"le chauffage au fuel est très efficace, car si le pétrole a un rendement très mauvais pour faire tourner un moteur il est est excellent pour le chauffage, et ca ne les aurait pas ruiner de prendre cette option, environ 500€ pour le publique, certainement beaucoup moins pour la poste et sa commande géante! mais bon on l'a compris le confort des salariés n'est pas la priorité de cette boite!"
3953,3953,
3954,3954,
3955,3955,"Mais de toute façon vue ce que ca doit consommer, dans une région froide quelqu’un qui roule tout les jours 2h, doit pouvoir s'en sortir avec quelque chose comme 5L par an."
3956,3956,
3957,3957,L'essai LOLesque de Caradisiac de la i3...#&amp;~@ de journalistes ... Mauvaise foi incroyable je trouve... Différence de traitement avec la Zoé clair et net...
3958,3958,Pourquoi mauvaise foi ?Quels sont les ponts qui litigieux ?
3959,3959,Reprise du message précédent :Pourquoi mauvaise foi ?Quels sont les ponts qui litigieux ?
3960,3960,"Exemples flagrantLe titre. Cela veut dire que la Zoé n'est pas crédible.Prix d'achat 3,5 pour les deux. Lol.Insonorisation 4,5 pour l'i3 pas de note pour la Zoé. Bizarre...Coût entretien/garantie 4 pour la i3 2,5 pour la Zoé !!Il se paluche avec le rex. OK mais qui mettra 40 000 euros dans une petite voiture. A part les aisés."
3961,3961,
3962,3962,"+1000 avec vous les gars, ce sont exactement mes arguments ...Dans les commentaires, voilà ce que je dis:Citation :Pour moi, la Zoé reste devant !- Prix 14400€ pour la Zoé (+ location de 79€ / mois) contre 28690€ pour la i3. Rentabilité en 8 ans ! Et encore, en cas d'achat cash, parce qu'un crédit, vous pouvez rajouté 2 années de plus ! Et tiens, dans 10 ans, quelle sera l'état de la batterie sur la i3. Il faudra la changer ==> 8000€ à redébourser ? La Zoé, il y a un échange gratuit car c'est de la loc... Et ceux pour une autonomie équivalent sans rEX. En ajoutant le Rex, vous ajoutez quasi 5000€ en plus ! Notez que Caradisiac a mis 3.5 étoiles au budget achat pour les 2 voitures = PITRES !- Perfo: 88ch (65kW) contre 170ch (125kW). Sauf que c'est de l'électrique, du couple max de 0 à 70, pas de changement de rapport (pas de boite ! ""une boite de vitesses 1 vitesse, quel comique !), autant dire que vous pouvez mettre un facteur 1.5 pour comparer avec une thermique. Autant dire que la puissance suffit... 170ch ne sert à rien, si ce n'est à détruire la batterie plus vite...- Coffre: 335L pour la Zoé contre 225L pour la I3 !!- Design extérieur : Avantage Zoé (les gouts et les couleurs)- Design intérieur : Avantage i3 beaucoup moins cheap que la Zoé (les gouts et les couleurs)- Charge : Tiens wallbox pour les 2 (qui l'avait dit ?) ! Cable de recharge occasionnel tout de même pour la i3 (il faudra au minimum 10h). MAis la Zoé peut se recharger jusqu'à 43kVA en AC contre 50kW en DC pour la i3 (une borne DC est 5 fois plus chère qu'une borne AC, devinez qui va supplanter l'autre ?). Avantage i3... jusqu'à début 2014.- Poids: Avantage i3 1195kg contre 1392kg- Conso : annoncé à 12.9kWh/100km (equivalent à 1.3L/100km de gasoil) pour la i3, à 10.5kWh pour la Zoé (mais les conso réalistes montre 12.5kWh pour celle-ci). Egalité (pourtant le poids devrait avantager la i3, mais peut être que la i3 est derrière en terme de Cx, resistance aux roulement, consommation des auxiliaires, etc...)- Espace intérieur :- Connectivité: Egalité, une tablette R-link, une appli smartphone et tablette, possibilité de gérer la charge depuis internet ou smartphone. Bref, pas de différence.Au final, les 2 autos sont assez proches mais je dirais que la Zoé reste devant pour son prix. Je ne comprends pas cet essai où caradisiac a un peu massacré la Zoé, le titre étant ""Renault Zoé : mal câblée"" (totalement négatif) contre ""BMW i3 : enfin une électrique crédible"" (totalement positif) pour la i3..."
3963,3963,
3964,3964,"parti pris pour BMW mais bon le test n'est pas complètement pourri.Manque sévèrement de culture de l'électrique et de la concurrence... dommage, mais caradisiac a toujours été comme auto-moto/turbo donc bon..."
3965,3965,
3966,3966,Elle à l'air très bien cette i3!
3967,3967,"Heureusement que oui. Elle est bien. Mais pas très jolie extérieurement je trouve. Pour une bmw , ce n'est pas sexy.De l'électrique prenium. On verra si les gros marchés répondront présent."
3968,3968,
3969,3969,"L'électrique premium, ca marche, voir la Tesla. Mais là, cette i3 n'a rien de premium. Pas assez d'autonomie. Qu'a-t-elle de plus que la Zoé aà part une belle planche de bord et 170ch qui ne servent à rien (ceux qui ont déjà conduit une Zoé ou une Leaf savent de quoi je parle !). La i8 sera premium que si l'autonomie est au RDV. C'est d'ailleurs pour ça que la Tesla se vend, parce qu'elle a une grosse batterie !"
3970,3970," J'ai loué une Zoé pour une journée (le 6 novembre) via Renault Rent, j'ai payé 35€ en passant par Internet. Je vous ferai un compte-rendu avec mes impressions  ."
3971,3971,"Je suis surtout impatient de voir les performances réelles de la i3 en terme d'autonomie comparé à une Zoé.Pour le moment, alors qu'elle a à priori une capacité batterie équivalente, et alors même qu'on parle de son gain de poids comme une énorme évolution, les chiffres d'autonomie annoncés ne semblent pas meilleurs que ceux de la Zoé. Wait and see donc.Mais clairement je vois l'architecture carbone/composite comme à double tranchant. Comment ça se répare en cas d'accident ?Je suppute qu'aujourd'hui le choix sera restreint à faire réparer chez BMW, ou chez... BMW.Et quand on sait qu'ils sont capable de vous sortir des devis à 110 euros pour un changement de plaques (véridique), je crains le pire.Bref, y'a intérêt à ce que les contraintes du composite apportent un gain d'autonomie très important, car sinon, la tôle de la Zoé a encore de beaux jours devant elle."
3972,3972,"Ca ne se répare pas, ca se change."
3973,3973,"Un test fait état d'une autonomie en tout électrique de 95 km pour l'I3 en profitant des performances.http://www.auto-mag.info/essai [...] -life-2014Et le prix de l'e-Up! avec bonus déduit et batterie comprise : 19650€C'est a dire environ ""5 ans de loyer ZOE"" inclus dans le prix ;-)"
3974,3974,
3975,3975,"La structure en carbone ne peut pas se manipuler comme de la tôle (dé-cabossage, etc...). Les parties abîmées sont remplacées."
3976,3976,"J'ai été étonné par ce fameux collage dans le turbo d'il y a 2 semaines ! Je ne sais pas trop quoi en penser.Par contre, effectivement, le carbone, ca risque de couter très cher ! Mais ca permet de gagner 200kg..."
3977,3977,"Je suis quand même étonné qu'avec 200kg de moins qu'une Zoe, elle n'ait pas plus d'autonomie, surtout en usage urbain peri-urbain ou d’après les retours des utilisateurs de Zoe ils arrivent sans probléme a plus de 120km dans ses conditions, ou alors le journaliste a vraiment conduit comme un bourrin ce qui me suspendrait qu'a moitié. Ceci dit on sait aussi que les capacités des batteries sont des valeurs relatives, il y a capacité totale et capacité utile.Sinon globalement je la trouve vraiment bien cette I3, surtout son design (contrairement a beaucoup qui critique ce point en particulier) c'est une voiture moderne, originale et urbaine parfaitement adapté a l'usage pour laquelle elle est destiné, j'aime vraiment, le seul reproche que je lui fait c'est son prix car d'un point de vue pratique elle n'en offre pas plus qu'une Zoé pour beaucoup plus cher.Idem pour le prolongateur beaucoup trop cher pour ce qu'il apporte, s'il permettait d'aller vraiment plus loin en conservant l'agrément et les performances son prix serait justifié, mais ce n'est pas le cas, pas assez puissant pas assez d'autonomie, il fait juste office de bidon d'essence dans le coffre a 47000€  Donc très bon concept mais beaucoup trop cher surtout quabnd on sait que sur le prix de base il manque des équipements compris en serie sur la Zoé de base, comme la pompe a chaleur facturé 650€, le chargeur rapide +1600€, ou l'accès sans clé + 420 €.Enfin la batterie est garantie 8 ans ou 100 000 km, pour une capacité minimale de 70%. (8 ans c'est bien 100 000 km pas terrible)Celle de la Zoe est garantie a vie pour une capacité minimale de 75%"
3978,3978,
3979,3979,"Petit point ""conso""Sur les 1500 derniers km, une moyenne de 13,4 kwh / 100km.Trajets avec peu de voies rapides, essentiellement de la ville, des routes de campagne et un peu de montagne."
3980,3980,"Ce qui te fait une autonomie moyenne d'un peu plus de 160 km, pas mal!  Quand je vois le journaleu qui arrive a peine a 95km avec l'i3 je me demande comment il fait "
3981,3981,
3982,3982,
3983,3983,
3984,3984,
3985,3985,
3986,3986,La puissance de l'i3 est sympa et appréciable. Mais mis en perspective avec le rapport prix/habitabilité c'est tout de suite moins bandant.Les 89400 euros de la tesla S (La plus chère) me paraissent plus cohérent dans ce cas. C'est pour moi the model.
3987,3987,
3988,3988,test la Zoe et tu verras que la reprise est déjà bien sympatique avec les 25 premiers mètres aussi rapide qu'une M3RS ! 
3989,3989,
3990,3990,"pompe a chaleur facturé 650€ ==> ah beh le voilà l'écart de conso !le chargeur rapide +1600€ (pas 2000 ?)ou l'accès sans clé + 420 €Et quid des options comme le regulateur /limiteur qui pour moi doit être de série sur un électrique (surtout avec un ""frein moteur"" énorme !) ? Ou encore la connectivité facturé 60€/an chez Renault ?Tout ça, ca compte !"
3991,3991,
3992,3992,
3993,3993,
3994,3994,
3995,3995,Reprise du message précédent :
3996,3996,
3997,3997,Et pour cause
3998,3998,
3999,3999,Y a pas de mal 
4000,4000,
4001,4001,18.8 kWh selon BMW
4002,4002,"Notion de capacité utile. 22 kW pour Zoé, 18,8 pour l'i3"
4003,4003,"La i3 est plus une vitrine techno, qu'une voiture électrique grand publique comme la zoé, la ion ou la leaf."
4004,4004,"Pas du tout d'accord. Elle est certes moins populaire, et cible de la clientèle ""premium"", mais ils ont la ferme intention d'en vendre.Il y aurait d'ailleurs déjà plus de 8000 commandes enregistrées.Elle est ausssi ""grand public"" que les autres, juste pas positionnée sur le même niveau de gamme."
4005,4005,
4006,4006,
4007,4007,
4008,4008,Et même la zoé.
4009,4009,
4010,4010,"Je me fais la même reflexion Percer.http://www.bmw.fr/fr/fr/newveh [...] _data.html ==> 18.8kWh, 190km sur cycle = 9.9kwh/100km et non 12.9kwh/100km qui correspond à 145km (moyenne de km chez BMW pour utilisateurs 130 à 160)Pour la Zoé, pas d'infos fiables (c'est pas mis dans la notice d'utilisation) mais il semblerait bien que ce soit 22kWh pour 210km sur cycle = 10.5kwh/100km."
4011,4011,Les montants du bonus 2014 sont enfin officielsExemple : Renault Zoé Life : 20 800 € – 6300 €
4012,4012,http://www.automobile-propre.c [...] mbre-2013/
4013,4013,Merci pour le lien. 
4014,4014,"503 immatriculations de Zoé en Octobre (4945 en cumulé contre 4442 en septembre)Source: CCFAEdit: j'avais pas vu le lien moteurnature, désolé"
4015,4015,
4016,4016,
4017,4017,
